2025-07-03 16:43:28,735 ERROR: Failed to process data/CSI-CARDIOLOGY-UPDATE-2018-Binder.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/cardiology-explained.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/14922.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
kage not found, please install it with `pip install pdfminer.six`
2025-07-03 20:21:29,319 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,330 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,340 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,351 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,372 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,383 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,383 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,414 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,446 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,472 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,482 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,514 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,528 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,567 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,599 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,599 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,630 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,662 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,677 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,684 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,709 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,725 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,774 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,799 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,810 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:29,810 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,067 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,092 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,096 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,177 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,197 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,219 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,266 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,283 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,330 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,346 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,361 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,377 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,396 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,410 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,947 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:30,947 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:31,008 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:31,012 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:31,012 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:31,244 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:31,763 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:31,857 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,110 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,139 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,197 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,197 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,210 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,265 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,305 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,321 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,369 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,377 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,387 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,387 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,387 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,403 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,493 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,546 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,546 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,556 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,820 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,830 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,941 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:33,972 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
